Date,Time,Latitude,Longitude,depth,Mag,Location
31-Jul-25, 11:50 PM,8.06,126.25,33,1.6,018 km N 84° W of Lingig (Surigao Del Sur)
31-Jul-25, 11:50 PM,8.63,126.36,22,1.4,020 km S 49° E of San Agustin (Surigao Del Sur)
31-Jul-25, 11:46 PM,9.78,123.02,26,2,011 km N 65° E of Mabinay (Negros Oriental)
31-Jul-25, 11:45 PM,8.32,126.55,45,1.6,024 km S 78° E of Hinatuan (Surigao Del Sur)
31-Jul-25, 11:27 PM,13.4,120.17,7,2.7,032 km S 86° W of Paluan (Occidental Mindoro)
31-Jul-25, 10:58 PM,11.78,125.46,51,1.8,003 km N 12° E of San Julian (Eastern Samar)
31-Jul-25, 10:41 PM,9.37,126.15,25,1.4,012 km N 25° W of Cortes (Surigao Del Sur)
31-Jul-25, 10:36 PM,5.75,124.95,1,2.4,014 km S 20° W of Maasim (Sarangani)
31-Jul-25, 10:21 PM,8.51,124.25,6,1.7,006 km N 81° W of Initao (Misamis Oriental)
31-Jul-25, 10:11 PM,11.31,126.07,2,4.1,044 km N 59° E of Mercedes (Eastern Samar)
31-Jul-25, 10:08 PM,7.37,124.58,34,1.5,003 km S 71° E of Alamada (Cotabato)
31-Jul-25, 09:29 PM,17.27,120.45,72,2.7,011 km N 06° E of City Of Candon (Ilocos Sur)
31-Jul-25, 09:02 PM,8.18,126.94,3,3,059 km N 75° E of Lingig (Surigao Del Sur)
31-Jul-25, 08:53 PM,9.92,125.15,17,3.1,008 km S 89° E of Limasawa (Southern Leyte)
31-Jul-25, 08:51 PM,8.18,126.86,7,2.6,051 km N 72° E of Lingig (Surigao Del Sur)
31-Jul-25, 08:44 PM,8.12,126.73,20,1.7,036 km N 76° E of Lingig (Surigao Del Sur)
31-Jul-25, 08:17 PM,8.11,126.86,5,3,050 km N 81° E of Lingig (Surigao Del Sur)
31-Jul-25, 07:27 PM,13.74,122.68,2,2.4,015 km S 56° W of Ragay (Camarines Sur)
31-Jul-25, 07:06 PM,13.48,121.48,7,2.5,026 km N 49° E of Naujan (Oriental Mindoro)
31-Jul-25, 06:51 PM,19.31,121.24,2,2.8,022 km N 10° E of Dalupiri Island (Calayan) (Cagayan)
31-Jul-25, 06:26 PM,8.86,123.16,7,2.4,026 km S 33° E of Siaton (Negros Oriental)
31-Jul-25, 05:43 PM,18.74,120.76,28,1.5,020 km N 08° W of Pagudpud (Ilocos Norte)
31-Jul-25, 03:10 PM,18.8,121.2,19,2.3,019 km S 73° W of Fuga Island (Aparri) (Cagayan)
31-Jul-25, 03:01 PM,10.06,122.53,20,2.7,014 km N 50° W of Cauayan (Negros Occidental)
31-Jul-25, 02:10 PM,8.46,126.59,28,1.5,030 km N 69° E of Hinatuan (Surigao Del Sur)
31-Jul-25, 12:45 PM,15.13,119.09,15,3.6,094 km S 69° W of Palauig (Zambales)
31-Jul-25, 12:12 PM,14.47,123.41,61,3.2,049 km S 89° E of Tinaga Island (Vinzons) (Camarines Norte)
31-Jul-25, 12:02 PM,6.59,126.16,30,3.2,012 km S 51° E of Governor Generoso (Davao Oriental)
31-Jul-25, 11:40 AM,9.2,126.69,7,3,052 km N 60° E of Bayabas (Surigao Del Sur)
31-Jul-25, 11:26 AM,13.77,120.62,103,1.7,007 km S 11° W of Calatagan (Batangas)
31-Jul-25, 10:22 AM,9.77,126.15,31,2,001 km S 54° W of General Luna (Surigao Del Norte)
31-Jul-25, 09:05 AM,14.15,125.41,44,2.6,117 km N 70° E of Gigmoto (Catanduanes)
31-Jul-25, 07:30 AM,6.86,126.66,110,2.8,031 km S 48° E of Tarragona (Davao Oriental)
31-Jul-25, 07:29 AM,8.19,127.37,38,1.7,107 km N 81° E of Lingig (Surigao Del Sur)
31-Jul-25, 07:25 AM,6.94,125.63,20,2.4,014 km S 10° E of City Of Davao
31-Jul-25, 06:57 AM,15.1,119.1,22,3.3,098 km S 75° W of Iba (Zambales)
31-Jul-25, 06:52 AM,9.35,126.24,29,1.8,010 km N 30° E of Cortes (Surigao Del Sur)
31-Jul-25, 06:37 AM,8.27,127.42,26,2.4,114 km N 77° E of Lingig (Surigao Del Sur)
31-Jul-25, 06:16 AM,11.81,124.25,2,2.2,011 km N 71° W of Maripipi (Biliran)
31-Jul-25, 06:03 AM,13.62,124.2,35,1.6,006 km N 41° W of Virac (Catanduanes)
31-Jul-25, 05:43 AM,15.68,121.77,13,1.8,023 km S 69° E of Baler (Aurora)
31-Jul-25, 04:58 AM,6.04,126.02,134,3.2,040 km S 65° E of Don Marcelino (Davao Occidental)
31-Jul-25, 04:51 AM,13.57,120.68,108,1.8,014 km N 21° W of Abra De Ilog (Occidental Mindoro)
31-Jul-25, 04:45 AM,15.16,119.01,34,2.4,106 km S 80° W of Iba (Zambales)
31-Jul-25, 04:41 AM,13.64,120.66,97,1.6,022 km S 07° E of Calatagan (Batangas)
31-Jul-25, 04:31 AM,18.7,121.6,80,1.8,030 km S 56° E of Fuga Island (Aparri) (Cagayan)
